"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"410","Charlie McAvoy","BOS","D","50","869.31666666667","4","10","3","7","14","41.18","61","6.56","3.05","130","86","45","11","5","8","40","19","19","0","0","12","58","17","77","111","66","0","0","-"
"431","Logan Stanley","WPG","D","63","890.28333333333","1","13","4","9","14","50.00","46","2.17","1.69","129","79","29","3","3","11","74","22","16","4","2","8","54","10","83","114","64","0","0","-"
"480","Conor Timmins","PIT, TOR","D","68","993.78333333333","3","11","5","6","14","35.90","63","4.76","2.69","176","103","44","5","2","15","30","15","15","0","0","6","54","11","55","128","79","0","0","-"
"481","Mario Ferraro","S.J","D","78","1408.2166666667","4","10","6","4","14","26.42","74","5.41","4.04","198","123","67","11","8","19","47","19","16","3","0","10","69","36","139","151","84","0","0","-"
"509","Josh Norris","BUF, OTT","C","56","673.16666666667","10","4","2","2","14","66.67","60","16.67","7.14","108","88","70","36","3","9","42","17","16","0","1","14","25","9","124","40","34","292","243","54.58"
"554","Joe Veleno","CHI, DET","C","74","836.33333333333","8","6","2","4","14","77.78","73","10.96","7.97","135","103","74","36","7","23","17","7","6","1","0","7","44","12","138","73","40","197","219","47.36"
"562","Jack Drury","CAR, COL","C","72","756.83333333333","6","8","3","5","14","58.33","76","7.89","7.97","169","132","88","31","14","8","20","10","10","0","0","5","31","11","43","96","37","340","246","58.02"
"564","Oskar Back","DAL","C","73","736.48333333333","4","10","7","3","14","77.78","41","9.76","8.14","93","73","73","45","3","12","8","4","4","0","0","6","53","11","27","96","29","80","63","55.94"
"636","Cam York","PHI","D","66","1187.2666666667","4","10","3","7","14","31.11","64","6.25","4.64","166","111","59","20","7","9","26","13","13","0","0","5","80","23","56","163","86","0","0","-"
"675","Juuso Parssinen","COL, NSH, NYR","C","48","469.88333333333","6","8","4","4","14","87.50","29","20.69","3.62","57","44","34","23","3","5","19","8","7","1","0","2","16","4","84","41","29","86","99","46.49"
"677","Matias Maccelli","UTA","L","55","653.4","8","6","4","2","14","70.00","72","11.11","7.12","164","115","72","21","2","15","8","4","4","0","0","6","41","11","5","53","9","4","4","50.00"
"693","Mitchell Chaffee","T.B","R","66","709.83333333333","8","6","3","3","14","56.00","51","15.69","5.39","93","76","61","28","0","4","21","9","8","1","0","15","24","10","130","77","21","4","7","36.36"
"1","Ryan Suter","STL","D","82","1396.8666666667","1","12","7","5","13","22.41","58","1.72","2.83","151","90","51","7","12","11","24","12","12","0","0","2","60","14","33","70","90","0","0","-"
"31","Max Pacioretty","TOR","L","37","446.01666666667","5","8","4","4","13","68.42","59","8.47","6.97","110","89","54","33","4","12","16","8","8","0","0","3","24","5","102","43","13","5","5","50.00"
"64","Chris Kreider","NYR","L","68","760.45","7","6","3","3","13","41.94","77","9.09","8.38","156","118","91","41","7","9","16","8","8","0","0","2","30","8","76","22","22","19","37","33.93"
"67","Tomas Tatar","N.J","L","74","747.65","6","7","2","5","13","54.17","53","11.32","6.09","110","74","60","30","4","11","20","10","10","0","0","7","32","6","53","57","17","8","6","57.14"
"122","Josh Manson","COL","D","48","768.68333333333","1","12","5","7","13","48.15","62","1.61","1.97","161","87","41","4","6","7","26","13","13","0","0","10","68","19","94","69","42","0","0","-"
"188","Shayne Gostisbehere","CAR","D","70","992.43333333333","3","10","3","7","13","29.55","75","4.00","3.7","214","133","58","8","8","24","34","17","17","0","0","10","65","25","36","49","51","0","0","-"
