"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"218","Connor Clifton","BUF","D","73","956.9","1","12","6","6","13","33.33","55","1.82","2.9","168","94","40","9","0","13","41","19","18","1","0","8","61","23","181","145","81","0","0","-"
"219","Carson Soucy","NYR, VAN","D","75","1155.15","4","9","3","6","13","34.21","79","5.06","3.18","190","123","41","5","3","18","46","19","18","0","1","4","71","17","98","121","88","0","0","-"
"235","Michael McCarron","NSH","C, R","74","820.5","5","8","4","4","13","61.90","75","6.67","9.51","156","114","85","44","7","14","96","25","13","10","2","22","27","12","144","85","49","407","344","54.19"
"237","Jason Dickinson","CHI","C","59","742.78333333333","6","7","3","4","13","54.17","48","12.50","5.65","133","82","73","31","5","10","38","12","9","2","1","11","25","11","97","75","39","347","334","50.95"
"289","Robby Fabbri","ANA","C","44","595.21666666667","8","5","4","1","13","72.22","61","13.11","5.81","98","78","59","23","2","14","16","8","8","0","0","7","25","14","55","43","29","45","63","41.67"
"290","Kasperi Kapanen","EDM, STL","R","67","725.98333333333","6","7","5","2","13","61.90","60","10.00","5.46","115","87","56","29","7","9","14","7","7","0","0","12","39","9","86","35","13","33","47","41.25"
"354","Mathew Barzal","NYI","C","30","480.06666666667","3","10","8","2","13","54.17","59","5.08","5.77","128","88","61","24","0","14","4","2","2","0","0","5","31","9","20","15","21","20","29","40.82"
"367","Mathieu Joseph","STL","R","60","642.95","3","10","6","4","13","65.00","65","4.62","6.41","131","99","70","29","6","7","28","10","9","0","1","10","23","14","118","60","31","30","29","50.85"
"400","Ryan Lomberg","CGY","L","80","677.81666666667","3","10","7","3","13","68.42","65","4.62","6.23","125","98","59","28","14","10","57","17","10","7","0","14","18","11","120","40","19","4","10","28.57"
"427","Andrew Peeke","BOS","D","76","1235.1333333333","0","13","9","4","13","32.50","76","0.00","2.84","200","123","48","7","7","19","15","6","5","1","0","3","94","15","99","164","110","0","0","-"
"465","Tanner Jeannot","L.A","L","67","727.78333333333","7","6","2","4","13","54.17","55","12.73","7.87","126","95","79","46","7","20","79","25","16","9","0","20","35","3","207","79","37","8","10","44.44"
"484","Michael Rasmussen","DET","C","77","862.53333333333","7","6","3","3","13","46.43","86","8.14","10.84","166","124","97","61","7","14","22","8","6","2","0","11","38","7","140","87","46","87","97","47.28"
"533","Morgan Barron","WPG","C","74","667.65","6","7","5","2","13","65.00","86","6.98","9.99","157","133","92","56","6","18","16","8","8","0","0","9","30","21","120","83","31","80","72","52.63"
"537","Mark Kastelic","BOS","C","61","624.35","5","8","6","2","13","68.42","67","7.46","6.94","119","93","65","33","14","12","106","29","17","10","2","23","25","12","214","69","39","188","153","55.13"
"539","Parker Kelly","COL","C","80","844.16666666667","6","7","5","2","13","68.42","87","6.90","8.49","187","142","91","36","3","12","29","13","12","1","0","13","36","16","157","101","50","248","305","44.85"
"541","Zach Whitecloud","VGK","D","74","1201.1","4","9","5","4","13","29.55","71","5.63","3.21","193","110","53","6","5","20","37","13","11","1","1","11","74","12","112","187","90","0","0","-"
"585","Ilya Lyubushkin","DAL","D","80","1176.35","1","12","4","8","13","28.26","49","2.04","2.07","140","89","28","5","7","11","30","15","15","0","0","8","103","17","76","131","109","0","0","-"
"616","Nico Sturm","FLA, S.J","C","62","561.46666666667","6","7","5","2","13","76.47","54","11.11","6.4","109","82","57","37","7","9","20","7","5","2","0","6","20","4","103","39","28","219","134","62.04"
"623","Kirby Dach","MTL","C","57","712.8","7","6","1","5","13","59.09","71","9.86","9.69","120","97","81","44","6","12","32","15","15","0","0","17","35","8","97","67","32","86","127","40.38"
"657","Jayden Struble","MTL","D","56","791.96666666667","2","11","5","6","13","40.63","47","4.26","1.72","136","68","34","4","8","13","48","16","13","2","1","6","50","22","118","90","50","0","0","-"
"727","Jamie Drysdale","PHI","D","70","1172.3333333333","5","8","5","3","13","25.00","48","10.42","2.48","142","85","37","4","2","9","18","9","9","0","0","4","66","19","18","74","92","0","0","-"
"757","Emil Heineman","MTL","L","62","636.93333333333","7","6","4","2","13","61.90","52","13.46","6.42","138","95","69","17","3","8","14","7","7","0","0","2","31","7","168","75","24","1","6","14.29"
"794","Zachary L'Heureux","NSH","L","62","675.45","4","9","5","4","13","52.00","68","5.88","9.62","139","115","83","45","7","13","53","18","13","5","0","14","31","14","194","72","19","0","4","0.00"
"898","Sam Malinski","COL","D","76","1144.2","4","9","5","4","13","28.26","111","3.60","4.14","271","156","72","11","6","21","16","8","8","0","0","8","65","28","52","194","99","0","0","-"
"899","Uvis Balinskis","FLA","D","76","996.66666666667","4","9","2","7","13","41.94","80","5.00","3.18","175","115","41","4","3","15","25","11","10","1","0","12","46","22","80","115","53","0","2","0.00"
"74","Casey Cizikas","NYI","C","82","967.85","5","7","5","2","12","48.00","87","5.75","11.53","186","149","106","61","7","18","41","16","13","3","0","19","39","16","198","97","55","320","247","56.44"
"77","Ben Chiarot","DET","D","81","1507.8","4","8","6","2","12","23.53","102","3.92","3.58","248","153","68","7","10","21","65","26","24","1","1","14","81","23","114","136","117","0","0","-"
"120","Colin Blackwell","DAL","C","63","597.03333333333","3","9","5","4","12","57.14","53","5.66","6.08","117","76","54","28","3","12","12","6","6","0","0","13","30","14","82","64","19","88","95","48.09"
"159","Colin Miller","WPG","D","60","818.51666666667","3","9","6","3","12","42.86","63","4.76","2.3","172","101","34","6","4","15","38","15","14","0","1","12","50","12","83","106","45","0","0","-"
"182","Radek Faksa","STL","C","70","798.21666666667","5","7","6","1","12","46.15","62","8.06","6.4","134","98","69","38","10","14","28","14","14","0","0","8","32","10","115","98","42","376","288","56.63"
"185","Oskar Sundqvist","STL","C","67","719.4","2","10","7","3","12","57.14","44","4.55","4.93","99","68","45","20","1","10","28","14","14","0","0","15","39","15","74","58","42","219","274","44.42"
"253","Rasmus Ristolainen","PHI","D","63","1048.8666666667","2","10","3","7","12","30.77","85","2.35","3.89","164","119","37","11","6","24","14","6","6","0","0","6","44","21","86","110","76","0","0","-"
"341","Erik Cernak","T.B","D","76","1165.0333333333","2","10","6","4","12","24.00","59","3.39","2.17","173","104","49","6","8","13","42","18","16","2","0","11","38","17","134","94","76","0","0","-"
"425","Trent Frederic","BOS, EDM","C","58","704","7","5","3","2","12","63.16","70","10.00","9.25","151","104","84","37","7","19","42","15","11","4","0","10","31","11","152","65","25","80","110","42.11"
"547","Philipp Kurashev","CHI","C","51","618.28333333333","5","7","3","4","12","85.71","45","11.11","5.03","97","73","57","20","1","5","14","7","7","0","0","8","24","12","30","31","15","84","96","46.67"
"553","Mattias Samuelsson","BUF","D","62","984.05","3","9","5","4","12","28.57","46","6.52","1.57","98","71","22","4","7","8","18","5","4","0","1","4","47","9","82","96","64","0","0","-"
"588","Pontus Holmberg","TOR","R","68","781.91666666667","2","10","5","5","12","54.55","58","3.45","6.43","135","94","78","41","3","11","18","9","9","0","0","25","24","9","46","75","43","119","123","49.17"
"645","Drew Helleson","ANA","D","56","838.45","4","8","6","2","12","33.33","60","6.67","2.19","148","89","44","7","11","9","43","16","14","1","1","6","42","13","95","97","66","0","0","-"
"647","Henry Thrun","S.J","D","60","946.33333333333","2","10","2","8","12","40.00","48","4.17","1.38","107","70","24","0","1","7","25","11","10","1","0","5","35","12","40","100","54","0","0","-"
"715","Justin Barron","MTL, NSH","D","62","965.28333333333","6","6","2","4","12","34.29","66","9.09","3.41","159","99","53","11","6","9","23","10","9","1","0","7","52","13","74","91","67","0","0","-"
"809","Olen Zellweger","ANA","D","62","967.66666666667","4","8","5","3","12","29.27","100","4.00","4.77","231","150","60","10","4","15","16","8","8","0","0","12","55","16","36","118","64","0","0","-"
"847","Denton Mateychuk","CBJ","D","45","712.18333333333","4","8","6","2","12","33.33","40","10.00","1.73","96","60","24","4","2","5","18","8","8","0","0","4","34","19","26","110","55","0","0","-"
"62","Dmitry Kulikov","FLA","D","70","1159.5833333333","3","8","2","6","11","24.44","56","5.36","2.83","162","91","32","4","8","13","36","14","13","0","1","9","72","31","103","94","57","0","0","-"
"85","Chris Tanev","TOR","D","75","1228.4666666667","2","9","4","5","11","20.00","40","5.00","1.5","116","63","30","6","4","5","22","11","11","0","0","8","76","9","20","154","129","0","0","-"
"287","Tony DeAngelo","NYI","D","35","651.31666666667","2","9","5","4","11","40.74","54","3.70","2.56","121","74","25","7","2","12","10","5","5","0","0","3","41","5","17","27","38","0","0","-"
"315","Dakota Joshua","VAN","C","57","666.31666666667","5","6","5","1","11","61.11","48","10.42","8.98","103","78","77","45","4","9","38","12","9","2","1","7","33","11","190","66","26","20","17","54.05"
"316","Kevin Labanc","CBJ","R","34","332.03333333333","2","9","2","7","11","84.62","31","6.45","2.33","86","53","32","12","3","5","10","5","5","0","0","2","13","6","27","20","14","0","3","0.00"
"352","Brandon Carlo","BOS, TOR","D","83","1315.5666666667","1","10","1","9","11","23.91","70","1.43","2.39","189","118","41","2","10","14","33","14","13","1","0","6","99","17","86","144","122","0","0","-"
"377","Yakov Trenin","MIN","C","76","846.85","5","6","3","3","11","44.00","77","6.49","9.56","165","131","81","41","8","11","54","19","16","2","1","18","49","11","232","91","30","20","21","48.78"
"478","Nicolas Hague","VGK","D","68","1075","4","7","2","5","11","28.21","73","5.48","2.83","175","103","35","7","4","14","34","11","7","4","0","10","54","18","76","166","67","0","0","-"
"506","Timothy Liljegren","S.J, TOR","D","68","1121.6833333333","4","7","1","6","11","28.21","89","4.49","4.4","221","142","65","13","7","24","38","19","19","0","0","8","57","12","54","121","95","0","0","-"
"519","David Kampf","TOR","C","59","590.98333333333","4","7","6","1","11","64.71","39","10.26","4.61","69","58","37","21","6","7","14","7","7","0","0","6","26","11","49","44","21","211","192","52.36"
"561","Ty Emberson","EDM","D","76","976.93333333333","2","9","6","3","11","30.56","59","3.39","2.15","148","90","35","4","5","14","18","6","4","2","0","9","42","30","110","193","69","0","0","-"
"608","Brayden Pachal","CGY","D","76","975.61666666667","3","8","4","4","11","31.43","60","5.00","2.2","193","101","46","6","9","19","86","33","28","4","1","21","64","15","142","88","70","0","0","-"
"612","Kyle MacLean","NYI","C","81","775.28333333333","4","7","4","3","11","57.89","58","6.90","5.36","115","87","53","27","5","7","12","6","6","0","0","10","25","12","107","40","28","257","283","47.59"
"681","Elmer Soderblom","DET","L","26","331.35","4","7","3","4","11","73.33","38","10.53","5.68","81","66","50","29","4","6","4","2","2","0","0","3","21","5","43","35","11","3","11","21.43"
"687","Tye Kartye","SEA","L","63","575.16666666667","5","6","2","4","11","57.89","55","9.09","4.75","111","79","66","22","1","9","43","20","19","1","0","25","24","4","174","50","24","3","10","23.08"
"691","Cole Smith","NSH","L, R","71","782.13333333333","4","7","4","3","11","55.00","59","6.78","6.62","123","87","73","35","4","17","52","17","11","6","0","19","38","15","149","111","21","8","7","53.33"
"769","J.J. Moser","T.B","D","54","872.11666666667","1","10","3","7","11","25.58","45","2.22","2.61","136","77","44","10","11","12","16","8","8","0","0","2","44","21","33","91","51","0","0","-"
"831","Conor Geekie","T.B","C","52","594.8","7","4","4","0","11","52.38","55","12.73","6.48","110","85","65","30","2","15","16","8","8","0","0","12","27","8","96","75","24","70","95","42.42"
"25","David Perron","OTT","L","43","500.75","5","5","3","2","10","52.63","52","9.62","6.54","96","75","60","25","1","14","12","6","6","0","0","6","21","11","65","29","8","6","13","31.58"
"32","Alec Martinez","CHI","D","44","722.81666666667","5","5","0","5","10","35.71","35","14.29","1.3","104","61","24","1","2","6","8","3","3","0","0","0","38","7","23","63","73","0","0","-"
"97","Derek Forbort","VAN","D","54","778.23333333333","2","8","3","5","10","47.62","38","5.26","1.4","112","64","27","0","1","7","37","14","11","3","0","11","51","7","49","86","63","0","0","-"
"180","Jacob Trouba","ANA, NYR","D","77","1317.2166666667","1","9","8","1","10","19.23","108","0.93","4.03","257","158","51","7","10","30","55","23","20","3","0","11","81","27","144","58","179","0","0","-"
"243","William Carrier","CAR","L","43","482.78333333333","3","7","4","3","10","52.63","46","6.52","6.97","110","78","71","37","5","17","16","8","8","0","0","7","18","11","151","61","12","5","5","50.00"
"269","Jordan Oesterle","BOS, NSH","D","37","593.58333333333","4","6","3","3","10","38.46","36","11.11","1.69","95","60","18","4","4","5","4","2","2","0","0","2","49","13","25","73","57","0","0","-"
"282","Jakub Vrana","NSH, WSH","L","39","371.43333333333","5","5","3","2","10","66.67","39","12.82","3.16","77","61","43","12","2","9","10","5","5","0","0","5","21","6","19","12","8","5","12","29.41"
"381","Noel Acciari","PIT","C","79","878.16666666667","4","6","4","2","10","52.63","69","5.80","9.38","141","106","98","57","6","15","14","6","6","0","0","15","31","11","174","81","64","217","168","56.36"
"415","Patrik Laine","MTL","L","52","559.71666666667","3","7","3","4","10","58.82","43","6.98","4.18","94","69","48","11","2","9","14","7","7","0","0","6","33","10","25","39","26","6","6","50.00"
"423","Beck Malenstyn","BUF","L","76","678.81666666667","4","6","5","1","10","58.82","64","6.25","6.28","129","101","64","37","6","13","29","13","12","1","0","14","38","9","187","100","49","14","10","58.33"
"626","Kaedan Korczak","VGK","D","40","588.31666666667","0","10","5","5","10","32.26","34","0.00","0.97","86","48","26","0","1","12","2","1","1","0","0","0","36","7","59","69","39","0","0","-"
"676","Zac Jones","NYR","D","46","699.91666666667","1","9","4","5","10","47.62","42","2.38","2.21","90","64","32","2","3","4","22","10","10","0","0","2","36","11","27","65","40","0","0","-"
"722","Alexander Holtz","VGK","R","53","580.16666666667","3","7","3","4","10","52.63","62","4.84","7.25","122","99","59","26","7","12","8","4","4","0","0","4","32","3","38","59","15","3","9","25.00"
"725","Brett Berard","NYR","L","35","370.31666666667","6","4","1","3","10","76.92","59","10.17","4.77","108","78","47","23","5","14","8","4","4","0","0","8","18","7","53","36","19","3","4","42.86"
"742","Marat Khusnutdinov","BOS, MIN","C","75","781.96666666667","5","5","3","2","10","66.67","37","13.51","3.84","69","59","43","19","4","4","18","8","8","0","0","1","43","5","54","64","39","167","198","45.75"
"756","Yegor Chinakhov","CBJ","R","30","387.4","5","5","3","2","10","62.50","53","9.43","4.51","110","81","50","18","7","12","2","1","1","0","0","3","17","3","46","17","9","0","0","-"
"779","Aatu Raty","VAN","C","33","339.4","7","3","1","2","10","66.67","31","22.58","3.55","56","44","34","18","0","7","12","6","6","0","0","5","8","2","79","20","6","172","131","56.77"
"804","Fedor Svechkov","NSH","C","52","569.1","5","5","1","4","10","71.43","48","10.42","6.14","119","84","70","30","5","6","8","4","4","0","0","7","40","5","31","53","23","116","201","36.59"
"873","Adam Klapka","CGY","R","31","288.51666666667","6","4","4","0","10","83.33","44","13.64","4.75","75","59","40","27","4","9","29","9","7","1","1","5","10","6","106","32","25","6","11","35.29"
"34","Drew Doughty","L.A","D","30","562.95","2","7","2","5","9","37.50","28","7.14","0.9","77","41","26","3","5","6","12","6","6","0","0","0","46","5","24","41","39","0","0","-"
"46","TJ Brodie","CHI","D","54","806.85","2","7","0","7","9","39.13","22","9.09","1.43","75","45","22","4","2","7","18","9","9","0","0","3","45","13","15","95","58","0","0","-"
"166","Mathew Dumba","DAL","D","63","895.4","1","8","6","2","9","23.68","55","1.82","3.28","192","106","58","9","7","19","58","22","19","2","1","8","57","15","65","94","56","0","0","-"
"202","Erik Gustafsson","DET","D","60","853.81666666667","1","8","7","1","9","34.62","53","1.89","2.83","152","97","37","4","6","15","20","10","10","0","0","5","70","9","28","108","41","0","0","-"
"331","Jonas Siegenthaler","N.J","D","55","923.08333333333","2","7","1","6","9","31.03","48","4.17","2.08","128","77","45","5","5","12","44","18","17","0","1","13","54","11","62","119","71","0","0","-"
"413","Carl Grundstrom","S.J","R","56","522.21666666667","3","6","5","1","9","75.00","87","3.45","7.71","149","118","71","31","7","11","22","10","10","0","0","6","35","5","169","68","17","3","3","50.00"
"418","Jesse Puljujarvi","FLA, PIT","R","31","333.78333333333","4","5","2","3","9","75.00","44","9.09","4.52","94","68","50","20","6","13","13","5","4","1","0","4","14","2","76","36","9","0","1","0.00"
"428","Tyson Jost","CAR","C","39","369.55","4","5","1","4","9","64.29","42","9.52","4.77","74","58","52","20","5","9","18","9","9","0","0","8","7","6","45","44","16","53","62","46.09"
"503","Henri Jokiharju","BOS, BUF","D","60","968.05","3","6","3","3","9","19.57","53","5.66","1.98","162","91","41","3","9","16","14","7","7","0","0","2","61","12","43","81","44","0","0","-"
"514","Alexandre Texier","STL","C","31","351.98333333333","5","4","3","1","9","69.23","46","10.87","3.86","81","63","38","14","4","5","10","5","5","0","0","4","11","5","20","14","11","0","0","-"
"587","Declan Chisholm","MIN","D","66","1031.0666666667","1","8","5","3","9","27.27","59","1.69","2.05","146","84","32","8","6","11","10","5","5","0","0","2","78","23","33","111","64","0","0","-"
"604","Simon Benoit","TOR","D","78","1108.2666666667","1","8","3","5","9","20.45","43","2.33","1.51","96","67","24","0","4","3","59","25","22","3","0","12","65","16","185","127","83","0","0","-"
"682","Adam Edstrom","NYR","C","51","466.88333333333","5","4","3","1","9","60.00","39","12.82","6.79","71","58","58","38","3","4","27","8","6","1","1","10","19","7","94","34","34","0","3","0.00"
"707","Tyler Kleven","OTT","D","79","1100.4333333333","4","5","3","2","9","31.03","73","5.48","2.42","179","108","40","3","5","6","27","12","11","1","0","12","64","30","103","179","93","0","0","-"
"719","Sam Colangelo","ANA","R","32","355.66666666667","7","2","2","0","9","47.37","34","20.59","4.39","76","56","44","18","5","6","2","1","1","0","0","2","16","1","67","33","17","4","10","28.57"
"764","Daniil Miromanov","CGY","D","44","725.01666666667","2","7","3","4","9","39.13","49","4.08","2.22","140","72","39","9","8","11","10","5","5","0","0","2","40","11","19","55","50","0","0","-"
"826","Lian Bichsel","DAL","D","38","539.78333333333","4","5","2","3","9","34.62","38","10.53","1.4","98","56","16","1","5","7","39","18","17","1","0","7","22","4","148","112","21","0","0","-"
"858","Matthew Poitras","BOS","C","33","382.08333333333","1","8","6","2","9","75.00","25","4.00","3.12","64","45","41","13","3","6","8","4","4","0","0","10","25","12","12","46","10","56","66","45.90"
"867","Marc Gatcomb","NYI","C","39","377.5","8","1","0","1","9","64.29","41","19.51","4.57","74","55","46","26","1","12","11","4","3","1","0","3","12","7","149","37","23","5","7","41.67"
"15","Trevor Lewis","L.A","C","60","562.23333333333","4","4","1","3","8","72.73","49","8.16","4.99","110","90","40","20","4","6","20","10","10","0","0","2","21","4","98","49","32","88","101","46.56"
"49","Cam Atkinson","T.B","R","39","319.76666666667","3","5","5","0","8","61.54","43","6.98","3.53","60","53","37","16","9","5","11","4","3","1","0","4","12","3","15","12","10","1","2","33.33"
